timestamp,job_id,tree_id,candidate_id,quality_score,occupancy,sharpness,contrast,brightness,raw_predicted_class,raw_confidence,prototype_distance,prototype_z,energy,energy_z,combined_unknownness,threshold,decision_margin,open_set_rejected,consensus_status,final_species
2026-08-08T05:34:41.963393,pine__pine_018,8,1,0.6559,0.4355,503.66,42.29,53.07,teak,0.6607,0.1138,0.6362,-1.8271,3.8137,0.795,-0.0323,0.8273,True,open_set_rejected,Unknown / Unrecognized species
2026-08-08T05:35:14.136896,pine__pine_019,2,1,0.6313,0.6514,177.96,21.28,27.51,mahogany,0.7166,0.098,0.4876,-1.9172,3.5076,0.6386,-0.0323,0.6709,True,open_set_rejected,Unknown / Unrecognized species
2026-08-08T05:35:48.274786,pine__pine_020,5,2,0.6039,0.4377,269.8,34.1,31.5,teak,0.9159,0.0054,-0.3854,-2.6454,1.0352,-0.3144,-0.0323,-0.2821,False,known,teak
2026-08-08T05:36:30.640126,pine__pine_021,2,2,0.8002,0.6642,2071.92,60.39,57.6,mahogany,0.9395,0.0053,-0.3862,-2.7862,0.5572,-0.3391,-0.0323,-0.3068,False,uncertain,Uncertain
2026-08-08T05:36:30.640126,pine__pine_021,2,3,0.797,0.7115,1631.1,56.36,51.12,pine,0.4912,0.179,1.2509,-1.754,4.0618,1.3915,-0.0323,1.4238,True,uncertain,Uncertain
2026-08-08T05:36:30.640126,pine__pine_021,2,4,0.7811,0.7318,1125.33,51.34,45.76,pine,0.9273,0.0058,-0.3817,-3.0243,-0.2511,-0.3752,-0.0323,-0.3428,False,uncertain,Uncertain
2026-08-08T05:36:30.640126,pine__pine_021,3,1,0.8538,0.7564,1229.24,64.92,75.74,pine,0.7981,0.0476,0.0124,-2.293,2.2317,0.1233,-0.0323,0.1557,True,open_set_rejected,Unknown / Unrecognized species
2026-08-08T05:36:30.640126,pine__pine_021,4,1,0.5896,0.5287,280.76,21.51,27.98,teak,0.6999,0.1153,0.6506,-1.9349,3.4475,0.7904,-0.0323,0.8228,True,open_set_rejected,Unknown / Unrecognized species
2026-08-08T05:37:18.107856,pine__pine_022,3,4,0.607,0.5137,405.74,28.45,27.47,mahogany,0.661,0.1122,0.6211,-1.8173,3.847,0.7824,-0.0323,0.8147,True,open_set_rejected,Unknown / Unrecognized species
2026-08-08T05:37:18.109861,pine__pine_022,3,3,0.5885,0.4087,540.52,32.31,32.12,teak,0.4724,0.2362,1.7905,-1.6786,4.3178,1.9168,-0.0323,1.9491,True,open_set_rejected,Unknown / Unrecognized species
2026-08-08T05:37:18.109861,pine__pine_022,3,5,0.5806,0.5418,165.86,18.46,25.06,mahogany,0.8162,0.0387,-0.0714,-2.1474,2.726,0.0685,-0.0323,0.1008,True,open_set_rejected,Unknown / Unrecognized species
2026-08-08T05:37:18.109861,pine__pine_022,5,1,0.582,0.4294,329.24,28.75,30.46,teak,0.9097,0.0105,-0.3379,-2.5795,1.2591,-0.258,-0.0323,-0.2257,False,known,teak
2026-08-08T05:37:18.109861,pine__pine_022,6,1,0.7134,0.7923,492.8,28.46,35.02,teak,0.9136,0.0127,-0.3166,-2.5676,1.2993,-0.2358,-0.0323,-0.2035,False,known,teak
2026-08-08T05:37:18.109861,pine__pine_022,7,6,0.8147,0.9761,594.4,36.07,44.89,mahogany,0.931,0.0033,-0.4058,-2.6937,0.8711,-0.3419,-0.0323,-0.3096,False,known,mahogany
2026-08-08T05:37:18.109861,pine__pine_022,7,5,0.8093,0.9776,578.88,33.84,46.13,mahogany,0.9338,0.0012,-0.4253,-2.701,0.8463,-0.3618,-0.0323,-0.3294,False,known,mahogany
2026-08-08T05:37:18.109861,pine__pine_022,7,3,0.7971,0.9668,642.87,30.06,49.75,mahogany,0.9369,0.0009,-0.4285,-2.753,0.67,-0.3736,-0.0323,-0.3412,False,known,mahogany
